FID	IID	Pheno_sparse	Pheno_burden_skat	Pheno_skat
5257	5257	-1.31694645182177	0.963152793074094	-0.0984546812800632
4686	4686	-1.61710748237609	0.466731277736712	-0.833264992810374
5818	5818	-0.193838536482693	0.29318579176655	1.3199450232657
659	659	-0.925579834980399	-1.27542286891776	0.109931398979122
8446	8446	0.592245234270278	0.593443064168936	0.371446528958831
4546	4546	-0.221974990827089	-0.521166316497522	0.22059418084818
1078	1078	0.558238511599856	-0.848713582207228	0.360597962246231
5766	5766	-0.313432219443331	-0.834703393883189	-2.05829673681414
4235	4235	0.800732411694204	0.0699998725739642	0.58905632699557
8186	8186	0.913195099708465	0.850323432505697	1.0555184860389
2670	2670	-0.0143259617438205	2.08230921503754	1.05168635705128
9712	9712	-1.05502930300149	0.995292932633541	0.548173483851547
6222	6222	-0.4112635743013	0.246320440867607	0.534375754336749
7607	7607	-0.760738807559133	1.74440593641796	-0.962355729170342
916	916	-0.218894301855567	0.697992751075692	-0.958586332963536
4779	4779	-0.605144981904399	2.60728368916871	-0.508912214225274
1013	1013	0.512679687211268	1.11743340973844	0.92098746476784
4159	4159	-0.851743619233715	0.25387541812497	-0.201180519713716
9090	9090	-0.768586941926212	-0.250675699040716	0.00896985050005544
5313	5313	-0.396078118527608	0.787962654204238	-0.818683129157502
9062	9062	-0.0643506477151094	-0.65180877546397	-1.80869668014023
10	10	0.620874344045096	-0.515633059981207	-1.20699313272247
5374	5374	-1.56835139443883	0.896760694491339	-1.52144657516919
6431	6431	1.19479188983668	0.134009144923505	-0.547319859618995
6205	6205	0.221970831710116	-0.634582669657324	1.3591581070701
3939	3939	0.520505118676999	0.116780269221806	0.08532411945203
1777	1777	0.418603561645222	1.1903737074554	1.4192746458567
4188	4188	0.453866864047714	0.135100259644315	-0.599940845827855
9317	9317	1.11763658763037	-0.513504443453131	-0.0221492186976897
915	915	2.02321279253055	1.13463787768836	0.263195050722887
3552	3552	0.023780292079735	0.879011789316923	0.600640118239815
313	313	-0.802639849637665	-0.121627710856389	0.286142444008858
162	162	-0.389669512830018	0.0811812274861279	-0.660714335911973
2818	2818	-0.569400415165527	0.794670883765202	-1.21017499920621
9231	9231	0.512607415578001	-1.17447405602767	-0.173416614381411
8198	8198	-0.0985600296601907	1.13251864870641	1.83839466466451
